"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20091223:0600",0,1,"H",2009-12-23 06:00:00
"Auckland, North Shore Albany Ews","20091224:0600",0,1,"H",2009-12-24 06:00:00
"Auckland, North Shore Albany Ews","20091225:0600",0,1,"H",2009-12-25 06:00:00
"Auckland, North Shore Albany Ews","20091226:0600",0,1,"H",2009-12-26 06:00:00
"Auckland, North Shore Albany Ews","20091227:0600",0,1,"H",2009-12-27 06:00:00
"Auckland, North Shore Albany Ews","20091228:0600",0,1,"H",2009-12-28 06:00:00
"Auckland, North Shore Albany Ews","20091229:0600",0,1,"H",2009-12-29 06:00:00
"Auckland, North Shore Albany Ews","20091230:0600",0,1,"H",2009-12-30 06:00:00
"Auckland, North Shore Albany Ews","20091231:0600",0,1,"H",2009-12-31 06:00:00
"Auckland, North Shore Albany Ews","20100101:0600",0,1,"H",2010-01-01 06:00:00
"Auckland, North Shore Albany Ews","20100102:0600",0,1,"H",2010-01-02 06:00:00
"Auckland, North Shore Albany Ews","20100103:0600",0,1,"H",2010-01-03 06:00:00
"Auckland, North Shore Albany Ews","20100104:0600",0,1,"H",2010-01-04 06:00:00
"Auckland, North Shore Albany Ews","20100105:0600",0,1,"H",2010-01-05 06:00:00
"Auckland, North Shore Albany Ews","20100106:0600",0,1,"H",2010-01-06 06:00:00
"Auckland, North Shore Albany Ews","20100107:0600",0,1,"H",2010-01-07 06:00:00
"Auckland, North Shore Albany Ews","20100108:0600",0,1,"H",2010-01-08 06:00:00
"Auckland, North Shore Albany Ews","20100109:0600",0,1,"H",2010-01-09 06:00:00
"Auckland, North Shore Albany Ews","20100110:0600",0,1,"H",2010-01-10 06:00:00
"Auckland, North Shore Albany Ews","20100111:0600",0,1,"H",2010-01-11 06:00:00
"Auckland, North Shore Albany Ews","20100112:0600",0,1,"H",2010-01-12 06:00:00
"Auckland, North Shore Albany Ews","20100113:0600",0,1,"H",2010-01-13 06:00:00
"Auckland, North Shore Albany Ews","20100114:0600",0,1,"H",2010-01-14 06:00:00
"Auckland, North Shore Albany Ews","20100115:0600",0,1,"H",2010-01-15 06:00:00
"Auckland, North Shore Albany Ews","20100116:0600",0,1,"H",2010-01-16 06:00:00
"Auckland, North Shore Albany Ews","20100117:0600",0,1,"H",2010-01-17 06:00:00
"Auckland, North Shore Albany Ews","20100118:0600",0,1,"H",2010-01-18 06:00:00
"Auckland, North Shore Albany Ews","20100119:0600",0,1,"H",2010-01-19 06:00:00
"Auckland, North Shore Albany Ews","20100120:0600",0,1,"H",2010-01-20 06:00:00
"Auckland, North Shore Albany Ews","20100121:0600",0,1,"H",2010-01-21 06:00:00
"Auckland, North Shore Albany Ews","20100122:0600",0,1,"H",2010-01-22 06:00:00
"Auckland, North Shore Albany Ews","20100123:0600",0,1,"H",2010-01-23 06:00:00
"Auckland, North Shore Albany Ews","20100124:0600",0,1,"H",2010-01-24 06:00:00
"Auckland, North Shore Albany Ews","20100125:0600",0,1,"H",2010-01-25 06:00:00
"Auckland, North Shore Albany Ews","20100126:0600",0,1,"H",2010-01-26 06:00:00
"Auckland, North Shore Albany Ews","20100127:0600",0,1,"H",2010-01-27 06:00:00
"Auckland, North Shore Albany Ews","20100128:0600",0,1,"H",2010-01-28 06:00:00
"Auckland, North Shore Albany Ews","20100129:0600",0,1,"H",2010-01-29 06:00:00
"Auckland, North Shore Albany Ews","20100130:0600",0,1,"H",2010-01-30 06:00:00
"Auckland, North Shore Albany Ews","20100131:0600",0,1,"H",2010-01-31 06:00:00
"Auckland, North Shore Albany Ews","20100201:0600",0,1,"H",2010-02-01 06:00:00
"Auckland, North Shore Albany Ews","20100202:0600",0,1,"H",2010-02-02 06:00:00
"Auckland, North Shore Albany Ews","20100203:0600",0,1,"H",2010-02-03 06:00:00
"Auckland, North Shore Albany Ews","20100204:0600",0,1,"H",2010-02-04 06:00:00
"Auckland, North Shore Albany Ews","20100205:0600",0,1,"H",2010-02-05 06:00:00
"Auckland, North Shore Albany Ews","20100206:0600",0,1,"H",2010-02-06 06:00:00
"Auckland, North Shore Albany Ews","20100207:0600",0,1,"H",2010-02-07 06:00:00
"Auckland, North Shore Albany Ews","20100208:0600",0,1,"H",2010-02-08 06:00:00
"Auckland, North Shore Albany Ews","20100209:0600",0,1,"H",2010-02-09 06:00:00
"Auckland, North Shore Albany Ews","20100210:0600",0,1,"H",2010-02-10 06:00:00
"Auckland, North Shore Albany Ews","20100211:0600",0,1,"H",2010-02-11 06:00:00
"Auckland, North Shore Albany Ews","20100212:0600",0,1,"H",2010-02-12 06:00:00
"Auckland, North Shore Albany Ews","20100213:0600",0,1,"H",2010-02-13 06:00:00
"Auckland, North Shore Albany Ews","20100214:0600",0,1,"H",2010-02-14 06:00:00
"Auckland, North Shore Albany Ews","20100215:0600",0,1,"H",2010-02-15 06:00:00
"Auckland, North Shore Albany Ews","20100216:0600",0,1,"H",2010-02-16 06:00:00
"Auckland, North Shore Albany Ews","20100217:0600",0,1,"H",2010-02-17 06:00:00
"Auckland, North Shore Albany Ews","20100218:0600",0,1,"H",2010-02-18 06:00:00
"Auckland, North Shore Albany Ews","20100219:0600",0,1,"H",2010-02-19 06:00:00
"Auckland, North Shore Albany Ews","20100220:0600",0,1,"H",2010-02-20 06:00:00
"Auckland, North Shore Albany Ews","20100221:0600",0,1,"H",2010-02-21 06:00:00
"Auckland, North Shore Albany Ews","20100222:0600",0,1,"H",2010-02-22 06:00:00
"Auckland, North Shore Albany Ews","20100223:0600",0,1,"H",2010-02-23 06:00:00
"Auckland, North Shore Albany Ews","20100224:0600",0,1,"H",2010-02-24 06:00:00
"Auckland, North Shore Albany Ews","20100225:0600",0,1,"H",2010-02-25 06:00:00
"Auckland, North Shore Albany Ews","20100226:0600",0,1,"H",2010-02-26 06:00:00
"Auckland, North Shore Albany Ews","20100227:0600",0,1,"H",2010-02-27 06:00:00
"Auckland, North Shore Albany Ews","20100228:0600",0,1,"H",2010-02-28 06:00:00
"Auckland, North Shore Albany Ews","20100301:0600",0,1,"H",2010-03-01 06:00:00
"Auckland, North Shore Albany Ews","20100302:0600",0,1,"H",2010-03-02 06:00:00
"Auckland, North Shore Albany Ews","20100303:0600",0,1,"H",2010-03-03 06:00:00
"Auckland, North Shore Albany Ews","20100304:0600",0,1,"H",2010-03-04 06:00:00
"Auckland, North Shore Albany Ews","20100305:0600",0,1,"H",2010-03-05 06:00:00
"Auckland, North Shore Albany Ews","20100306:0600",0,1,"H",2010-03-06 06:00:00
"Auckland, North Shore Albany Ews","20100307:0600",0,1,"H",2010-03-07 06:00:00
"Auckland, North Shore Albany Ews","20100308:0600",0,1,"H",2010-03-08 06:00:00
"Auckland, North Shore Albany Ews","20100309:0600",0,1,"H",2010-03-09 06:00:00
"Auckland, North Shore Albany Ews","20100310:0600",0,1,"H",2010-03-10 06:00:00
"Auckland, North Shore Albany Ews","20100311:0600",0.2,1,"H",2010-03-11 06:00:00
"Auckland, North Shore Albany Ews","20100312:0600",0,1,"H",2010-03-12 06:00:00
"Auckland, North Shore Albany Ews","20100313:0600",0,1,"H",2010-03-13 06:00:00
"Auckland, North Shore Albany Ews","20100314:0600",0,1,"H",2010-03-14 06:00:00
"Auckland, North Shore Albany Ews","20100315:0600",0,1,"H",2010-03-15 06:00:00
"Auckland, North Shore Albany Ews","20100316:0600",0,1,"H",2010-03-16 06:00:00
"Auckland, North Shore Albany Ews","20100317:0600",0,1,"H",2010-03-17 06:00:00
"Auckland, North Shore Albany Ews","20100318:0600",0,1,"H",2010-03-18 06:00:00
